fiscal_year,rdte_index,base_year,source_table,source_url
1996,54.39,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
1997,55.15,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
1998,55.84,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
1999,56.55,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2000,57.60,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2001,58.53,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2002,59.41,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2003,60.57,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2004,62.15,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2005,63.98,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2006,65.75,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2007,67.26,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2008,68.63,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2009,69.62,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2010,70.64,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2011,71.99,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2012,73.08,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2013,74.02,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2014,74.95,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2015,75.90,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2016,77.09,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2017,78.65,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2018,80.27,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2019,81.90,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2020,84.30,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2021,87.97,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2022,92.09,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2023,95.32,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2024,97.83,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2025,100.00,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2026,102.10,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
2027,104.24,2025,Green Book Table 5-4,https://comptroller.defense.gov/Portals/45/Documents/defbudget/FY2025/fy25_Green_Book.pdf
